job_title,job_detail_url,job_listed,company_name,company_link,company_location
Social Media Coordinator,https://www.linkedin.com/jobs/view/social-media-coordinator-at-lids-3919759467?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=Zxj2%2FWmSnBiMvz2e5iufTQ%3D%3D&position=3&pageNum=37&trk=public_jobs_jserp-result_search-card,6 days ago,Lids,https://www.linkedin.com/company/lids-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Indianapolis, IN"
Social Media/Customer Service Analyst,https://www.linkedin.com/jobs/view/social-media-customer-service-analyst-at-dee-zee-inc-3944977232?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=BiVXI3nrj1HLTJ4mztbE5w%3D%3D&position=4&pageNum=37&trk=public_jobs_jserp-result_search-card,1 day ago,"Dee Zee, Inc",https://www.linkedin.com/company/dee-zee-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Des Moines, IA"
Social Media Marketing Coordinator,https://www.linkedin.com/jobs/view/social-media-marketing-coordinator-at-the-aspenwood-company-3945333520?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=QWeR5JoU26SYTXXzgmx8Rg%3D%3D&position=6&pageNum=37&trk=public_jobs_jserp-result_search-card,1 day ago,The Aspenwood Company,https://www.linkedin.com/company/the-aspenwood-company?trk=public_jobs_jserp-result_job-search-card-subtitle,"Houston, TX"
Social Media and Community Manager,https://www.linkedin.com/jobs/view/social-media-and-community-manager-at-saturn-3943629453?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=vwFKvWZFoJORIYBlIEwqwA%3D%3D&position=7&pageNum=37&trk=public_jobs_jserp-result_search-card,4 days ago,Saturn,https://www.linkedin.com/company/saturntechnologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jackson, MS"
Entry Level Social Media Coordinator,https://www.linkedin.com/jobs/view/entry-level-social-media-coordinator-at-divine-taxa-3942065045?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=5sALFP5NU26eUYVkU3yzAA%3D%3D&position=8&pageNum=37&trk=public_jobs_jserp-result_search-card,6 days ago,Divine Taxa,https://www.linkedin.com/company/divine-taxa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Austin, TX"
"Senior Coordinator, Social Media",https://www.linkedin.com/jobs/view/senior-coordinator-social-media-at-houston-astros-3939127879?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=EvgkwiVkebIl77oth8P1Yw%3D%3D&position=10&pageNum=37&trk=public_jobs_jserp-result_search-card,1 week ago,Houston Astros,https://www.linkedin.com/company/houston-astros?trk=public_jobs_jserp-result_job-search-card-subtitle,"Houston, TX"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-robert-half-3938845837?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=vKgau%2Fe5RxE1us0QF58lFQ%3D%3D&position=12&pageNum=37&trk=public_jobs_jserp-result_search-card,1 week ago,Robert Half,https://www.linkedin.com/company/robert-half-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Columbia, South Carolina Metropolitan Area"
Food or Beverage Packaging Graphic Designer & Social Media Marketer with photoshoot experience,https://www.linkedin.com/jobs/view/food-or-beverage-packaging-graphic-designer-social-media-marketer-with-photoshoot-experience-at-carrie-rikon-associates-llc-3938370292?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=u4O7KI1KjxXccZUP563K6w%3D%3D&position=21&pageNum=37&trk=public_jobs_jserp-result_search-card,1 week ago,"Carrie Rikon & Associates, LLC",https://www.linkedin.com/company/carrie-rikon-associates-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Santa Ana, CA"
Social Media Marketing Intern,https://www.linkedin.com/jobs/view/social-media-marketing-intern-at-flicker-3939091744?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=WfO%2BTjBLBoDRTD96XOK1Tg%3D%3D&position=22&pageNum=37&trk=public_jobs_jserp-result_search-card,6 days ago,FLICKER,https://www.linkedin.com/company/flickermediaco?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bend, OR"
Paid Social Media Planner - Contract to Hire,https://www.linkedin.com/jobs/view/paid-social-media-planner-contract-to-hire-at-binding-minds-inc-certified-disability-owned-business-enterprise-3941300394?refId=EAWYHuB9XeTQaTvKCZRoNg%3D%3D&trackingId=oVRgsOKG9wG6nviVeZE5Tw%3D%3D&position=23&pageNum=37&trk=public_jobs_jserp-result_search-card,3 days ago,Binding Minds Inc. (Certified Disability Owned Business Enterprise),https://www.linkedin.com/company/binding-minds-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
