job_title,job_detail_url,job_listed,company_name,company_link,company_location
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-fora-travel-3945677674?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=xWzkuaByvrHbmrbGN4S3vA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,1 day ago,Fora Travel,https://www.linkedin.com/company/foratravel?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Data Analyst: 24-01478,https://www.linkedin.com/jobs/view/data-analyst-24-01478-at-akraya-inc-3938195938?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=HgrZCFBWwWmrKzAsg39eIQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"Akraya, Inc.",https://www.linkedin.com/company/akraya-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"California, United States"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-cmd-3941973465?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=3Xb3fUhZLr0b8MNb2nFU5A%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago,CMD,https://www.linkedin.com/company/cmd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Portland, Oregon Metropolitan Area"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-coders-data-3941399740?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=FF6mbCd5QeL5g1nFch1Yjg%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,1 day ago,Coders Data,https://www.linkedin.com/company/codersdata?trk=public_jobs_jserp-result_job-search-card-subtitle,New York City Metropolitan Area
Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3937027211?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=VP0V22dSx65y41bpkQxgQg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,Atria Wealth Solutions,https://www.linkedin.com/company/atria-wealth-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Syracuse, NY"
Business Data Analyst,https://www.linkedin.com/jobs/view/business-data-analyst-at-genpact-3941962359?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=%2Bo0IWbmaGzaEP7jUtwZWNA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago,Genpact,https://www.linkedin.com/company/genpact?trk=public_jobs_jserp-result_job-search-card-subtitle,New York City Metropolitan Area
Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-atria-wealth-solutions-3937027212?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=WDcu0upUU91UIeuwTTqpwQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,Atria Wealth Solutions,https://www.linkedin.com/company/atria-wealth-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Diego, CA"
Excel Data Analyst,https://www.linkedin.com/jobs/view/excel-data-analyst-at-abacus-solutions-group-3945466751?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=cYiU%2FuumlEAP4ukoAls0sw%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,1 day ago,Abacus Solutions Group,https://www.linkedin.com/company/abacussolutionsgroup-net?trk=public_jobs_jserp-result_job-search-card-subtitle,"Charlotte, NC"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-atlantic-group-3938781787?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=MVWYyZDJ5LCYl6j%2FVZZ06A%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,Atlantic Group,https://www.linkedin.com/company/the-atlantic-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Boston, MA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-spot-pet-insurance-3937763154?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=gdcQaSXNuNhqBCIuViDyNA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,Spot Pet Insurance,https://www.linkedin.com/company/spot-pet-insurance?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miami, FL"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-pcs-global-tech-3943102910?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=G7VHWp7rhJfuH4icz5Qb3g%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago,PCS Global Tech,https://www.linkedin.com/company/pcs-global-tech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Poway, CA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-evona-3943459247?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=X0Kc6QqLFbP3v2FjuocLKw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago,EVONA,https://www.linkedin.com/company/evona-space?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles County, CA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-blue-chip-talent-3936754180?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=QuiYKTFxBZsVMHzwTuHLvA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,Blue Chip Talent,https://www.linkedin.com/company/blue-chip-talent?trk=public_jobs_jserp-result_job-search-card-subtitle,"Plymouth, MI"
"Data Analyst, Product Insights, SCC",https://www.linkedin.com/jobs/view/data-analyst-product-insights-scc-at-lyft-3941689341?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=AIJ1SXpgptT4iAQBY4OxXA%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago,Lyft,https://www.linkedin.com/company/lyft?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco County, CA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-mindlance-3944267720?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=89dtwtu%2B66mWKmU1U9ld1A%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,2 days ago,Mindlance,https://www.linkedin.com/company/mindlance?trk=public_jobs_jserp-result_job-search-card-subtitle,"Seattle, WA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-alpine-solutions-group-3938813857?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=G%2FHAPhv31Ag%2F5xOK3NKnog%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,5 days ago,Alpine Solutions Group,https://www.linkedin.com/company/alpinesolutionsgroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Paoli, PA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-burtch-works-3940374799?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=nagY%2FFFDQysEu1Bw%2Fk3CmA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,2 days ago,Burtch Works,https://www.linkedin.com/company/burtch-works?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Customer Data Analyst,https://www.linkedin.com/jobs/view/customer-data-analyst-at-medical-mutual-3939820706?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=qRgSYqy4OFwLDJQKEnNehw%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,3 days ago,Medical Mutual,https://www.linkedin.com/company/medical-mutual?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-aviva-systems-biology-3937859593?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=mBvHg8ou3zXWD0UYoeMhjw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,2 days ago,Aviva Systems Biology,https://www.linkedin.com/company/aviva-systems-biology?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Diego, CA"
Data Reporting Analyst,https://www.linkedin.com/jobs/view/data-reporting-analyst-at-humana-3944152850?refId=GY2%2FMGwYwXp2xeQZ0CCcYQ%3D%3D&trackingId=5CCznaH3IwzUFfQwXZuFBg%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,1 day ago,Humana,https://www.linkedin.com/company/humana?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-themesoft-inc-3939722928?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=S57pCHPpIqeCYDxavQu4tA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,3 days ago,Themesoft Inc.,https://www.linkedin.com/company/themesoft-inc.?trk=public_jobs_jserp-result_job-search-card-subtitle,New York City Metropolitan Area
Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-coders-data-3945289238?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=1TneDTspAPZw6N8huG0idA%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,1 day ago,Coders Data,https://www.linkedin.com/company/codersdata?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chicago, IL"
SQL Data Analyst,https://www.linkedin.com/jobs/view/sql-data-analyst-at-idr-inc-3942191058?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=J4VmObvviKKnLjR4gXQzCQ%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,4 days ago,"IDR, Inc.",https://www.linkedin.com/company/idrinc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Nashville, TN"
Data Analyst (Junior-Mid-level),https://www.linkedin.com/jobs/view/data-analyst-junior-mid-level-at-pyramid-consulting-inc-3945423522?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=xabdClCjEFdttzolo2X08A%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,1 day ago,"Pyramid Consulting, Inc",https://www.linkedin.com/company/pyramid-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle,"McLean, VA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-stellar-consulting-solutions-llc-3938852056?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=6Nb9p7kuYOnEq4U1YunW6g%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,1 day ago,"Stellar Consulting Solutions, LLC",https://www.linkedin.com/company/stellar-consulting-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Austin, Texas Metropolitan Area"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3938811413?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=30cRtZGsUS4mi%2BJR1tkGBg%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,5 days ago,Brooksource,https://www.linkedin.com/company/brooksource?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-aquila-engineering-llc-3936846458?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=FUrJ%2Fa9e8hbyHFN4sRwV%2FQ%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,Aquila Engineering LLC,https://www.linkedin.com/company/aquila-engineering-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Houston
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-dexian-3938839289?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=%2Bw8WiuwuxaBSkO8W%2BoOVhA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,5 days ago,Dexian,https://www.linkedin.com/company/dexiansolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"McLean, VA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-aimic-inc-3940377236?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=Z3sEj81QQ%2FlBfUxKj%2Fvz7A%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card,2 days ago,Aimic Inc,https://www.linkedin.com/company/aimic-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Richmond, VA"
Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-tech-consulting-3940314772?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=78Hc%2BHN9rY%2B5qkfMblgMZQ%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card,3 days ago,Tech Consulting,https://www.linkedin.com/company/techconsultingusa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Texas, United States"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-pyramid-consulting-inc-3937944666?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=kiRw9bUVYw1Ytky%2BOCyu1Q%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,"Pyramid Consulting, Inc",https://www.linkedin.com/company/pyramid-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chicago, IL"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-advantis-global-is-now-inspyr-solutions-3940801026?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=N5lvkbZicyt8ZTzBtiUPew%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card,2 days ago,Advantis Global is now INSPYR Solutions,https://www.linkedin.com/company/advantis-global-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Austin, Texas Metropolitan Area"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-tss-3938827934?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=tNFEdIbcf3aA6yTgfHgMWQ%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card,5 days ago,TSS,https://www.linkedin.com/company/tssands?trk=public_jobs_jserp-result_job-search-card-subtitle,"Fort Worth, TX"
Business Data Analyst,https://www.linkedin.com/jobs/view/business-data-analyst-at-synechron-3943499633?refId=VTL0WcwR1DhiUKTCP2Uf9g%3D%3D&trackingId=cRXj82kavul%2FvEbWTfYDvw%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card,2 days ago,Synechron,https://www.linkedin.com/company/synechron?trk=public_jobs_jserp-result_job-search-card-subtitle,New York City Metropolitan Area
